id,student_id,course_id,grade,semester
1,1,13,F,S-1 2025
2,1,3,D,S-3 2021
3,1,9,C,S-3 2023
4,1,10,D,S-2 2021
5,1,4,F,S-2 2024
6,2,11,A,S-3 2024
7,2,7,C,S-2 2022
8,2,3,D,S-3 2022
9,2,13,IP,S-2 2025
10,2,4,C,S-3 2021
11,3,7,IP,S-2 2025
12,3,11,F,S-1 2021
13,3,6,W,S-3 2025
14,3,15,C,S-2 2024
15,3,8,D,S-2 2021
16,4,12,B,S-1 2025
17,4,6,A,S-3 2025
18,4,3,A,S-1 2022
19,4,15,W,S-3 2025
20,4,5,F,S-3 2025
21,5,6,B,S-3 2021
22,5,7,D,S-3 2021
23,5,8,IP,S-1 2023
24,5,5,F,S-1 2022
25,5,15,F,S-2 2023
26,6,8,F,S-2 2023
27,6,12,IP,S-1 2025
28,6,11,B,S-3 2024
29,6,5,F,S-3 2024
30,6,14,IP,S-3 2021
31,7,2,F,S-2 2022
32,7,9,IP,S-3 2023
33,7,1,C,S-2 2024
34,7,15,D,S-3 2021
35,7,5,W,S-3 2024
36,8,14,IP,S-3 2023
37,8,3,A,S-3 2023
38,8,10,F,S-1 2022
39,8,2,B,S-1 2023
40,8,8,W,S-1 2023
41,9,15,D,S-1 2025
42,9,10,B,S-2 2024
43,9,11,D,S-2 2025
44,9,13,C,S-3 2024
45,9,3,F,S-1 2024
46,10,1,A,S-3 2025
47,10,4,D,S-3 2024
48,10,8,B,S-2 2021
49,10,12,IP,S-1 2023
50,10,15,D,S-1 2022
51,11,15,A,S-2 2021
52,11,7,A,S-1 2021
53,11,4,A,S-3 2024
54,11,5,F,S-1 2021
55,11,10,F,S-3 2021
56,12,10,W,S-1 2021
57,12,9,IP,S-2 2023
58,12,8,A,S-1 2021
59,12,3,W,S-2 2023
60,12,6,A,S-3 2024
61,13,15,F,S-2 2025
62,13,3,IP,S-1 2024
63,13,7,C,S-2 2022
64,13,2,W,S-2 2024
65,13,14,B,S-3 2022
66,14,13,C,S-1 2022
67,14,8,D,S-1 2025
68,14,11,IP,S-3 2023
69,14,3,B,S-2 2022
70,14,10,W,S-3 2021
71,15,12,IP,S-1 2021
72,15,9,C,S-3 2022
73,15,4,IP,S-1 2024
74,15,1,B,S-1 2022
75,15,8,C,S-1 2023
76,16,9,IP,S-3 2022
77,16,5,W,S-1 2021
78,16,12,F,S-2 2021
79,16,1,C,S-2 2023
80,16,8,IP,S-1 2024
81,17,4,C,S-2 2025
82,17,11,A,S-1 2021
83,17,7,D,S-2 2025
84,17,10,B,S-1 2024
85,17,9,A,S-3 2023
86,18,12,W,S-3 2021
87,18,11,D,S-3 2024
88,18,1,IP,S-2 2024
89,18,15,A,S-2 2021
90,18,13,IP,S-1 2023
91,19,12,D,S-1 2023
92,19,11,A,S-1 2023
93,19,15,F,S-2 2023
94,19,2,W,S-3 2025
95,19,1,B,S-3 2022
96,20,12,C,S-3 2025
97,20,3,C,S-3 2025
98,20,7,IP,S-3 2024
99,20,1,IP,S-2 2021
100,20,9,IP,S-2 2023
101,21,1,W,S-1 2024
102,21,15,A,S-2 2025
103,21,12,C,S-3 2025
104,21,5,A,S-1 2023
105,21,3,D,S-2 2023
106,22,1,C,S-1 2022
107,22,13,C,S-2 2024
108,22,9,D,S-2 2022
109,22,12,IP,S-2 2022
110,22,11,IP,S-2 2023
111,23,5,IP,S-3 2021
112,23,12,B,S-3 2022
113,23,9,C,S-2 2022
114,23,13,D,S-1 2022
115,23,11,D,S-1 2025
116,24,1,A,S-1 2021
117,24,13,A,S-1 2024
118,24,4,F,S-1 2022
119,24,6,D,S-1 2023
120,24,9,A,S-3 2025
121,25,3,D,S-2 2023
122,25,4,B,S-3 2021
123,25,9,F,S-2 2025
124,25,13,D,S-2 2024
125,25,10,A,S-3 2022
126,26,6,W,S-3 2025
127,26,5,A,S-1 2023
128,26,12,W,S-1 2023
129,26,9,W,S-3 2021
130,26,3,W,S-3 2025
131,27,2,IP,S-2 2025
132,27,6,A,S-1 2023
133,27,13,A,S-2 2022
134,27,3,C,S-3 2021
135,27,5,D,S-1 2025
136,28,5,F,S-3 2021
137,28,9,B,S-1 2022
138,28,15,F,S-1 2025
139,28,3,IP,S-2 2024
140,28,2,B,S-1 2021
141,29,2,W,S-2 2022
