id,title,department,credits
1,Introduction to Psychology,Psychology,4
2,Advanced Data Structures,Computer Science,4
3,World History II,History,4
4,Organic Chemistry,Biology,3
5,Creative Writing Workshop,English,3
6,Music Theory I,Music,4
7,Calculus II,Mathematics,3
8,Principles of Engineering,Engineering,4
9,Modern Culinary Techniques,Culinary Arts,4
10,Physics of Motion,Physics,3
11,American Literature,English,4
12,Artificial Intelligence Basics,Computer Science,3
13,Cell Biology,Biology,4
14,Statistics and Probability,Mathematics,4
15,History of Western Civilization,History,4
